0;ADAPTABILIDADE;O que importa para você é o aqui e o agora. Acredita na capacidade de criar o futuro através das decisões que toma no presente. Esta ideia não exclui o planejamento. Mas o tema da Adaptabilidade faz você se adequar ao que pede o momento, ainda que se veja distante de seu plano original. Sabe que haverá demandas e caminhos imprevistos e na verdade se sente estimulado, ansiando por eles. Você tem facilidade para se adaptar a diferentes situações e mantém-se produtivo e flexível, mesmo quando as exigências do trabalho tornam-se múltiplas e simultâneas.                                                                
1;ANALÍTICO;O Analítico desafia seus companheiros, exigindo provas da confiabilidade de determinado ponto de vista. É provável que teorias aparentemente brilhantes, caiam sob seus questionamentos e o que busca, na verdade, é justamente que se mantenham somente aquelas consistentes.  Você se julga objetivo e distanciado. Gosta das informações porque elas não têm valor em si. Busca padrões e conexões, tentando compreender como se influenciam e se combinam mutuamente e qual o resultado deste confronto na solução das situações e proposições enfrentadas. De questão em questão vai buscando as causas que estão na raiz do que se discute. Crendo em seu refinamento, você será procurado por outros para submeter pensamentos de terceiros à sua lógica e rigor. Fuja da severidade, do contrário estas mesmas pessoas evitarão expor seus próprios pensamentos a seu julgamento.
2;ATIVAÇÃO;As pessoas guiadas por este padrão aguardam impacientemente a ação. Acreditam nos resultados da discussão e da análise, mas creem exclusivamente no poder de realização que só a ação pode conceber. Após a tomada de uma decisão, as dúvidas ocasionais não poderão detê-lo.  Conjugando ação e pensamento, você aprende com os resultados e através deste aprendizado, projeta ações futuras. Só acredita no crescimento trazido pela reação a determinadas ações, que estimulam sua capacidade de raciocínio, trazendo novas informações. De forma autoestimulante, sabe que o resultado prático do que se consegue efetivamente fazer, supera qualquer pensamento ou palavra.
3;AUTOAFIRMAÇÃO;Abençoado pelo tema da Autoafirmação, você essencialmente acredita em si mesmo. Autoconfiante, assume riscos, enfrenta desafios, afirma direitos e cumpre o que promete. Além de confiar em suas habilidades, você se apoia em um poder intrínseco de discernir, olhando o mundo sob uma perspectiva clara e única. Confiante nesta capacidade, sem desprezar sugestões e orientações, mantém categoricamente seu próprio pensamento e sabe que será o único com autoridade para formular conclusões, tomar decisões e agir. Apossa-se com naturalidade destas características, não se intimidando, por conseguinte, com essa responsabilidade pelo modo como leva a vida. Sente conhecer ao certo a melhor decisão a ser tomada em qualquer situação. Enfrenta inabalável, argumentos contrários aos seus e dependendo de outros temas, a autoafirmação pode ser calma ou ruidosa, embora sempre sólida e forte.
4;CARISMA;Aproveitando o estímulo que o contato com estranhos lhe propicia, você gosta do desafio de conhecer, seduzir novas pessoas e fazê-las gostar de você. Atraído por elas, descobre seus nomes e logo encontra alguma área de interesse comum que possibilite uma conversa e a construção de uma relação. Diferente de outras pessoas, você nunca se sente sem assunto. Com facilidade, trava relações com estranhos e se sente satisfeito em estabelecer uma nova conexão. Esta conquista o impulsiona a seguir para outras, em diferentes espaços de trabalho, buscando novos grupos para interagir. Estranhos para você significam novos amigos em potencial. Muitos amigos. 
5;COMANDO;Plenamente confortável na posição de impor seus pontos de vista, você não se sente incomodado em tomar a frente. Pelo contrário, define sua opinião e objetivos, passando a compartilhá-lo com outras pessoas, esperando sua concordância. Em busca de uma resolução, você expõe fatos e verdades, por mais desagradáveis que sejam, enfrentando contrariedades e encarando confrontos. Busca a clareza e a franqueza nos outros, impelindo-os a assumir riscos, mesmo que se sintam intimidados. Confiante em seu poder de comando, atrai as pessoas para determinada direção e ainda que  por vezes possam julgá-lo intolerante, frequentemente lhe passam de bom grado o controle da situação. 
6;COMPETIÇÃO;Como todos os competidores, você utiliza o desempenho alheio como paradigma. Olha para o mundo em uma busca consciente do desempenho do outro, a fim de exercer uma comparação, que é a base de toda competição. Ainda que atinja seus objetivos com esforço e boas intenções, não valoriza a realização se não supera seus pares. Você necessita das outras pessoas para comparar os próprios resultados e utilizá-los como estímulo para competir. Acredita que se pode competir, pode vencer e não há sensação melhor do que a vitória. Você gosta da mensuração porque ela facilita as comparações. Gosta dos outros competidores porque eles o revigoram e das disputas porque elas precisam produzir um indivíduo vitorioso. Você não compete por simples prazer e embora consiga ser gentil e até impassível diante de uma derrota, busca sempre o primeiro posto. Somente uma disputa é capaz de trazer este resultado. Com o tempo, acabará evitando aquelas onde o sucesso pareça improvável. 
7;COMUNICAÇÃO;Você gosta de explicar, de descrever, de receber, de falar em público e de escrever. Ideias são um árido ponto de partida e acontecimentos são estáticos. Você sente a necessidade de trazê-los à vida, energizá-los, torná-los empolgantes e nítidos. E então você transforma acontecimentos em histórias e exercita o ato de contá-las. Você busca a frase perfeita consciente de que as pessoas, munidas de uma capacidade muito pequena de concentração, recebem uma grande carga de informação, mas pouco disso sobrevive. Enriquecendo uma ideia inicial com imagens, exemplos e metáforas, pretende que sua informação - seja um acontecimento, as características e benefícios de um produto, uma descoberta ou uma lição, fique gravada de alguma forma. Expressões vibrantes e vigorosas combinações de palavras buscam atrair a atenção das pessoas. E como resultado das imagens que suas palavras projetam, elas gostam de ouvi-lo, têm seu interesse despertado e se sentem estimuladas a agir.
8;CONEXÃO;O indivíduo sob o padrão da Conexão acredita que fazemos parte de um todo, chamado por alguns de inconsciente coletivo e por outros de espírito ou força vital. Nesta rede, crê que nada acontece sem uma razão, ainda que cada um seja responsável por seus próprios julgamentos e caminhe na posse de seu livre-arbítrio. Em uma palavra, sabe que todos estão conectados e ganha confiança crendo não haver isolamento na Terra. Esse sentimento de Conexão pressupõe certas responsabilidades: se somos parte de um quadro maior, então não devemos ferir ou explorar os outros, porque estaremos atingindo a nós mesmos. Seu sistema de valores, baseado na consciência destas responsabilidades, faz de você um ser humano solícito, atencioso e compreensivo. Busca esta unidade, facilitando a interação entre pessoas de diferentes culturas, proporcionando ao próximo o consolo da ideia da existência de um propósito que transcende a rotina diária da vida. 
9;CONTEXTO;Olhando pra trás, você contextualiza o presente. Encontra respostas em um tempo anterior, quando os planos estavam sendo traçados, e traz estabilidade para o confuso momento atual. Crê na simplicidade do tempo passado, quando projetos emergiam e as intenções eram distintas, revelando a essência do que agora parece rebuscado e quase irreconhecível. Essa compreensão lhe traz confiança e permite a tomada de decisões, possível somente para quem conhece o que se encontra subentendido. Você se torna um parceiro melhor porque compreende como seus colegas passaram a ser quem são. De posse consciente do que foi semeado no passado, torna-se mais sábio em relação ao futuro. Durante um confronto com outras pessoas e situações, esta orientação pode demorar a chegar, mas você deve dar a si mesmo esse tempo. A confiança em suas decisões virá das respostas que lhe chegam para estas perguntas, feitas disciplinadamente e respeitando seu ritmo pessoal.
